Line Number,CSV Content,Error Message
1,"﻿MTB,https://www.youtube.com/watch?v=CCOII0ZuDp0,【东方MMD】若鹭姬漂浮装置！【中文字幕】,https://www.bilibili.com/video/BV1Ck2BBcEvC,2,,,",[0;31mERROR:[0m [youtube] CCOII0ZuDp0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
1,"﻿MTB,https://www.youtube.com/watch?v=CCOII0ZuDp0,【东方MMD】若鹭姬漂浮装置！【中文字幕】,https://www.bilibili.com/video/BV1Ck2BBcEvC,2,,,",[0;31mERROR:[0m [youtube] CCOII0ZuDp0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
1,"﻿MTB,https://www.youtube.com/watch?v=CCOII0ZuDp0,【东方MMD】若鹭姬漂浮装置！【中文字幕】,https://www.bilibili.com/video/BV1Ck2BBcEvC,2,,,",[0;31mERROR:[0m [youtube] CCOII0ZuDp0: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
2,"MTB,https://www.youtube.com/watch?v=DcbFKxhxSWw,[中字]琪露诺的考试题目,https://www.bilibili.com/video/BV15mUHB6Eat,2,,,",[0;31mERROR:[0m [youtube] DcbFKxhxSWw: Sign in to confirm you’re not a bot. Use --cookies-from-browser or --cookies for the authentication. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies. Also see  https://github.com/yt-dlp/yt-dlp/wiki/Extractors#exporting-youtube-cookies  for tips on effectively exporting YouTube cookies
10,"sei,https://www.nicovideo.jp/watch/sm23161561,【莳乃字幕屋】博丽神社有谁来访了 第一回【东方MMD剧场】,https://www.bilibili.com/video/BV1Qx411A7bA,1,原视频非公开,原作者主页：https://www.nicovideo.jp/user/30602456,","[0;31mERROR:[0m [niconico] sm23161561: Video unavailable, set to private. Use --cookies, --cookies-from-browser, --username and --password, --netrc-cmd, or --netrc (niconico) to provide account credentials. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies"
10,"sei,https://www.nicovideo.jp/watch/sm23161561,【莳乃字幕屋】博丽神社有谁来访了 第一回【东方MMD剧场】,https://www.bilibili.com/video/BV1Qx411A7bA,1,原视频非公开,原作者主页：https://www.nicovideo.jp/user/30602456,","[0;31mERROR:[0m [niconico] sm23161561: Video unavailable, set to private. Use --cookies, --cookies-from-browser, --username and --password, --netrc-cmd, or --netrc (niconico) to provide account credentials. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies"
11,"sei,https://www.nicovideo.jp/watch/sm33940273,【东方MMD中文字幕】秘封噩梦日记后日谈【剧透预警】,https://www.bilibili.com/video/BV1RW411m71W,1,原视频非公开,,","[0;31mERROR:[0m [niconico] sm33940273: Video unavailable, set to private. Use --cookies, --cookies-from-browser, --username and --password, --netrc-cmd, or --netrc (niconico) to provide account credentials. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies"
78,"うどん猫,https://www.nicovideo.jp/watch/sm22038572,【东方MMD中文内嵌】魔理沙的芙兰营救计划,https://www.bilibili.com/video/BV1gs41137o2,1,,,","[0;31mERROR:[0m [niconico] sm22038572: This video is not available from your location due to geo restriction
This video is available in Japan.
You might want to use a VPN or a proxy server (with --proxy) to workaround."
80,"うどん猫,https://www.nicovideo.jp/watch/sm22038572,【东方MMD中文内嵌】魔理沙的芙兰营救计划,https://www.bilibili.com/video/BV1gs41137o2,1,,,","[0;31mERROR:[0m [niconico] sm22038572: This video is not available from your location due to geo restriction
This video is available in Japan.
You might want to use a VPN or a proxy server (with --proxy) to workaround."
95,"LVがたりない,https://www.nicovideo.jp/watch/sm28543300,【东方MMD中文内嵌】失去第三只眼的日子【剧情佳作】,https://www.bilibili.com/video/BV1FW411w7HU,1,原视频非公开,作者nico主页：https://www.nicovideo.jp/user/39096214,","[0;31mERROR:[0m [niconico] sm28543300: Video unavailable, set to private. Use --cookies, --cookies-from-browser, --username and --password, --netrc-cmd, or --netrc (niconico) to provide account credentials. See  https://github.com/yt-dlp/yt-dlp/wiki/FAQ#how-do-i-pass-cookies-to-yt-dlp  for how to manually pass cookies"
